Comment,Designator,Footprint
0.1uF,"C1, C6, C7, C9, C11, C13, C15",C_0603_1608Metric
10uF,"C2, C5, C8, C10, C12",C_0603_1608Metric
33pF,"C3, C4",C_0603_1608Metric
4.7uF,"C14, C16",C_0603_1608Metric
5.1k,R1,R_0805_2012Metric
680,R2,R_0805_2012Metric
GL3224-OIY04,U1,C157357_HQFN-32_L5_0-W5_0-P0_50-BL-EP3_0
SD Card,U2,C5184837_TF-SMD_TF-PUSH
TYPE-C-31-G-02,USB-C-Male1,C530606_USB-C-SMD_TYPE-C-31-G-02
HC-49SMD 25MHZ 20PF 20PPM,X1,C14872_HC-49S_L11_4-W4_8
